video,poster,appcode,poster_width_px,poster_height_px,appcode_width_px,appcode_x_px,appcode_y_px,poster_width_meters,poster_height_meters,status,frames_processed,frames_tracked,frames_tracked_percent,notes
dv ipad bag far.MOV,,,,,,,,,,error,,,,"ValueError(""PosixPath('.') has an empty name"")"
dv ipad bag near.MOV,,,,,,,,,,error,,,,"ValueError(""PosixPath('.') has an empty name"")"
la ipad bag far.MOV,,,,,,,,,,error,,,,"ValueError(""PosixPath('.') has an empty name"")"
la ipad bag near.MOV,,,,,,,,,,error,,,,"ValueError(""PosixPath('.') has an empty name"")"
dv iphone 11 bag far.MOV,,,,,,,,,,error,,,,"ValueError(""PosixPath('.') has an empty name"")"
dv iphone 11 bag near.MOV,,,,,,,,,,error,,,,"ValueError(""PosixPath('.') has an empty name"")"
la iphone 11 bag far.MOV,,,,,,,,,,error,,,,"ValueError(""PosixPath('.') has an empty name"")"
la iphone 11 bag near.MOV,,,,,,,,,,error,,,,"ValueError(""PosixPath('.') has an empty name"")"
dv iphone xs bag far.MOV,,,,,,,,,,error,,,,"ValueError(""PosixPath('.') has an empty name"")"
dv iphone xs bag near.MOV,,,,,,,,,,error,,,,"ValueError(""PosixPath('.') has an empty name"")"
la iphone xs bag far.MOV,,,,,,,,,,error,,,,"ValueError(""PosixPath('.') has an empty name"")"
la iphone xs bag near.MOV,,,,,,,,,,error,,,,"ValueError(""PosixPath('.') has an empty name"")"
dv iphone 11 walk far.MOV,,,,,,,,,,error,,,,"ValueError(""PosixPath('.') has an empty name"")"
dv iphone 11 walk near.MOV,,,,,,,,,,error,,,,"ValueError(""PosixPath('.') has an empty name"")"
la iphone 11 walk far.MOV,,,,,,,,,,error,,,,"ValueError(""PosixPath('.') has an empty name"")"
la iphone 11 walk near.MOV,,,,,,,,,,error,,,,"ValueError(""PosixPath('.') has an empty name"")"
dv iphone xs walk far.MOV,,,,,,,,,,error,,,,"ValueError(""PosixPath('.') has an empty name"")"
dv iphone xs walk near.MOV,,,,,,,,,,error,,,,"ValueError(""PosixPath('.') has an empty name"")"
la iphone xs walk far.MOV,,,,,,,,,,error,,,,"ValueError(""PosixPath('.') has an empty name"")"
la iphone xs walk near.MOV,,,,,,,,,,error,,,,"ValueError(""PosixPath('.') has an empty name"")"
dv ipad window far.MOV,,,,,,,,,,error,,,,"ValueError(""PosixPath('.') has an empty name"")"
dv ipad window near.MOV,,,,,,,,,,error,,,,"ValueError(""PosixPath('.') has an empty name"")"
la ipad window far.MOV,,,,,,,,,,error,,,,"ValueError(""PosixPath('.') has an empty name"")"
la ipad window near.MOV,,,,,,,,,,error,,,,"ValueError(""PosixPath('.') has an empty name"")"
dv iphone xs window far.MOV,,,,,,,,,,error,,,,"ValueError(""PosixPath('.') has an empty name"")"
dv iphone xs window near.MOV,,,,,,,,,,error,,,,"ValueError(""PosixPath('.') has an empty name"")"
la iphone xs window far.MOV,,,,,,,,,,error,,,,"ValueError(""PosixPath('.') has an empty name"")"
la iphone xs window near.MOV,,,,,,,,,,error,,,,"ValueError(""PosixPath('.') has an empty name"")"
dv_iphone 11_pole_far.MOV,,,,,,,,,,error,,,,"ValueError(""PosixPath('.') has an empty name"")"
la_iphone 11_pole_near.MOV,,,,,,,,,,error,,,,"ValueError(""PosixPath('.') has an empty name"")"
la_iphone 11_pole_far.MOV,,,,,,,,,,error,,,,"ValueError(""PosixPath('.') has an empty name"")"
dv_iphone 11_pole_near.MOV,,,,,,,,,,error,,,,"ValueError(""PosixPath('.') has an empty name"")"
dv_iphone 11_walk_near.MOV,,,,,,,,,,error,,,,"ValueError(""PosixPath('.') has an empty name"")"
dv_iphone 11_walk_far.MOV,,,,,,,,,,error,,,,"ValueError(""PosixPath('.') has an empty name"")"
dv_iphone xs_walk_near.MOV,,,,,,,,,,error,,,,"ValueError(""PosixPath('.') has an empty name"")"
dv_iphone xs_walk_far.MOV,,,,,,,,,,error,,,,"ValueError(""PosixPath('.') has an empty name"")"
dv_ipad_walk_near.MOV,,,,,,,,,,error,,,,"ValueError(""PosixPath('.') has an empty name"")"
dv_ipad_walk_far.MOV,,,,,,,,,,error,,,,"ValueError(""PosixPath('.') has an empty name"")"
la_iphone 11_walk_near.MOV,,,,,,,,,,error,,,,"ValueError(""PosixPath('.') has an empty name"")"
la_iphone 11_walk_far.MOV,,,,,,,,,,error,,,,"ValueError(""PosixPath('.') has an empty name"")"
la_iphone xs_walk_near.MOV,,,,,,,,,,error,,,,"ValueError(""PosixPath('.') has an empty name"")"
la_iphone xs_walk_far.MOV,,,,,,,,,,error,,,,"ValueError(""PosixPath('.') has an empty name"")"
la_ipad_walk_near.MOV,,,,,,,,,,error,,,,"ValueError(""PosixPath('.') has an empty name"")"
la_ipad_walk_far.MOV,,,,,,,,,,error,,,,"ValueError(""PosixPath('.') has an empty name"")"
dv_iphone xs_pole_near.MOV,,,,,,,,,,error,,,,"ValueError(""PosixPath('.') has an empty name"")"
dv_iphone xs_pole_far.MOV,,,,,,,,,,error,,,,"ValueError(""PosixPath('.') has an empty name"")"
dv_ipad_pole_near.MOV,,,,,,,,,,error,,,,"ValueError(""PosixPath('.') has an empty name"")"
dv_ipad_pole_far.MOV,,,,,,,,,,error,,,,"ValueError(""PosixPath('.') has an empty name"")"
la_iphone xs_pole_near.MOV,,,,,,,,,,error,,,,"ValueError(""PosixPath('.') has an empty name"")"
la_iphone xs_pole_far.MOV,,,,,,,,,,error,,,,"ValueError(""PosixPath('.') has an empty name"")"
la_ipad_pole_near.MOV,,,,,,,,,,error,,,,"ValueError(""PosixPath('.') has an empty name"")"
la_ipad_pole_far.MOV,,,,,,,,,,error,,,,"ValueError(""PosixPath('.') has an empty name"")"
swap_QA1.mov,b25_Generated__bubbly_image_10__r20__49.png,,,,,,,,,error,,,,"ValueError(""invalid literal for int() with base 10: '115.0'"")"
swap_QA2.mov,b25_Generated__bubbly_image_11__r20__51.png,,,,,,,,,error,,,,"ValueError(""invalid literal for int() with base 10: '146.0'"")"
swap_QA3.mov,b25_Generated__bubbly_image_12__r20__53.png,,,,,,,,,error,,,,"ValueError(""invalid literal for int() with base 10: '141.0'"")"
swap_QA4.mov,b25_Generated__bubbly_image_13__r20__55.png,,,,,,,,,error,,,,"ValueError(""invalid literal for int() with base 10: '115.0'"")"
swap_AL1.mov,b25_Generated__bubbly_image_14__r20__57.png,,,,,,,,,error,,,,"ValueError(""invalid literal for int() with base 10: '128.0'"")"
swap_AL2.mov,b25_Generated__bubbly_image_15__r20__59.png,,,,,,,,,error,,,,"ValueError(""invalid literal for int() with base 10: '142.0'"")"
swap_AL3.mov,b25_Generated__bubbly_image_16__r20__61.png,,,,,,,,,error,,,,"ValueError(""invalid literal for int() with base 10: '146.0'"")"
swap_AL4.mov,b27_Generated__bubbly_image_17__r20__3.png,,,,,,,,,error,,,,"ValueError(""invalid literal for int() with base 10: '141.0'"")"
dv_QA1.mov,b25_Generated__bubbly_image_19__r20__65.png,,,,,,,,,error,,,,"ValueError(""invalid literal for int() with base 10: '180.0'"")"
dv_QA2.mov,b25_Generated__bubbly_image_19__r20__66.png,,,,,,,,,error,,,,"ValueError(""invalid literal for int() with base 10: '170.0'"")"
dv_QA3.mov,b25_Generated__bubbly_image_20__r20__67.png,,,,,,,,,error,,,,"ValueError(""invalid literal for int() with base 10: '187.0'"")"
dv_QA4.mov,b25_Generated__bubbly_image_20__r20__68.png,,,,,,,,,error,,,,"ValueError(""invalid literal for int() with base 10: '176.0'"")"
dv_AL1.mov,b25_Generated__bubbly_image_21__r20__69.png,,,,,,,,,error,,,,"ValueError(""invalid literal for int() with base 10: '188.0'"")"
dv_AL2.mov,b25_Generated__bubbly_image_21__r20__70.png,,,,,,,,,error,,,,"ValueError(""invalid literal for int() with base 10: '185.0'"")"
dv_AL3.mov,b25_Generated__bubbly_image_23__r20__71.png,,,,,,,,,error,,,,"ValueError(""invalid literal for int() with base 10: '180.0'"")"
dv_AL4.mov,b25_Generated__bubbly_image_23__r20__72.png,,,,,,,,,error,,,,"ValueError(""invalid literal for int() with base 10: '191.0'"")"
dv_QA5.mov,b25_Generated__bubbly_image_24__r20__73.png,,,,,,,,,error,,,,"ValueError(""invalid literal for int() with base 10: '182.0'"")"
dv_QA6.mov,b25_Generated__bubbly_image_24__r20__74.png,,,,,,,,,error,,,,"ValueError(""invalid literal for int() with base 10: '190.0'"")"
dv_QA7.mov,b25_Generated__bubbly_image_25__r20__75.png,,,,,,,,,error,,,,"ValueError(""invalid literal for int() with base 10: '85.0'"")"
dv_QA8.mov,b25_Generated__bubbly_image_25__r20__76.png,,,,,,,,,error,,,,"ValueError(""invalid literal for int() with base 10: '185.0'"")"
dv_AL5.mov,b25_Generated__bubbly_image_26__r20__77.png,,,,,,,,,error,,,,"ValueError(""invalid literal for int() with base 10: '180.0'"")"
dv_AL6.mov,b27_Generated__bubbly_image_26__r20__5.png,,,,,,,,,error,,,,"ValueError(""invalid literal for int() with base 10: '180.0'"")"
dv_AL7.mov,b25_Generated__bubbly_image_27__r20__79.png,,,,,,,,,error,,,,"ValueError(""invalid literal for int() with base 10: '185.0'"")"
dv_AL8.mov,b25_Generated__bubbly_image_27__r20__80.png,,,,,,,,,error,,,,"ValueError(""invalid literal for int() with base 10: '185.0'"")"
bw_QA1.mov,b25_Generated__bubbly_image_28__r20__81.png,,,,,,,,,error,,,,"ValueError(""invalid literal for int() with base 10: '197.0'"")"
