video,poster,appcode,poster_width_px,poster_height_px,appcode_width_px,appcode_x_px,appcode_y_px,poster_width_meters,poster_height_meters,status,frames_processed,frames_tracked,frames_tracked_percent,notes
swap_QA1.mov,b25_Generated__bubbly_image_10__r20__49.png,bubbly_image_10_cn_0,1922,2916,584,669,1166,0.115,0.172,processed,1245,910,73,
swap_QA2.mov,b25_Generated__bubbly_image_11__r20__51.png,bubbly_image_11_cn_0,902,1346,270,316,538,0.146,0.203,processed,1301,1235,94,
swap_AL2.mov,b25_Generated__bubbly_image_15__r20__59.png,bubbly_image_15_cn_0,2252,3346,670,791,1338,0.142,0.225,processed,1241,1173,94,
swap_AL3.mov,b25_Generated__bubbly_image_16__r20__61.png,bubbly_image_16_cn_0,1030,1502,300,365,601,0.146,0.203,processed,1272,1272,100,
dv_QA1.mov,b25_Generated__bubbly_image_19__r20__65.png,bubbly_image_19_cn_0,1922,3034,608,657,1213,0.18,0.285,processed,1428,1048,73,
dv_QA2.mov,b25_Generated__bubbly_image_19__r20__66.png,bubbly_image_19_nn_2,1922,3034,608,657,1213,0.17,0.269,processed,1333,865,64,
dv_AL2.mov,b25_Generated__bubbly_image_21__r20__70.png,bubbly_image_21_nn_2,1822,2776,556,633,1110,0.185,0.285,processed,1404,986,70,
dv_AL3.mov,b25_Generated__bubbly_image_23__r20__71.png,bubbly_image_23_cn_0,1202,1796,360,421,718,0.18,0.268,processed,1444,1030,71,
dv_QA7.mov,b25_Generated__bubbly_image_25__r20__75.png,bubbly_image_25_cn_0,1202,1837,368,417,734,0.085,0.185,processed,1387,925,66,
dv_AL8.mov,b25_Generated__bubbly_image_27__r20__80.png,bubbly_image_27_nn_2,1202,1851,370,416,740,0.185,0.285,processed,1211,850,70,
bw_QA1.mov,b25_Generated__bubbly_image_28__r20__81.png,BW_cn_0,726,1025,206,260,410,0.197,0.28,processed,1281,1281,100,
bw_QA5.mov,b25_Generated__bubbly_image_32__r20__89.png,BW_cn_0,1202,1836,368,417,734,0.187,0.287,error,1284,1284,100,Missing timestamps
bw_QA6.mov,b25_Generated__bubbly_image_33__r20__91.png,BW_nn_2,1953,2972,594,680,1189,0.185,0.285,processed,1201,1201,100,
bw_QA11.mov,b25_Generated__bubbly_image_32__r20__90.png,BW_cn_1,1202,1836,368,417,734,0.185,0.285,processed,1223,1223,100,
mk_AL1.mov,b25_Generated__market_algs1__r20__0.png,bubbly_image_54_cn_0,642,884,178,232,353,0.197,0.275,processed,1253,1253,100,
mk_AL2.mov,b25_Generated__market_algs2__r20__1.png,bubbly_image_54_cn_0,579,852,170,204,341,0.184,0.268,processed,1366,1366,100,
mk_AL5.mov,b25_Generated__market_algs5__r20__4.png,bubbly_image_54_cn_0,583,864,174,204,345,0.194,0.286,error,1269,619,48,Missing timestamps
mk_AL6.mov,b25_Generated__market_algs6__r20__5.png,bubbly_image_54_cn_0,588,843,170,209,336,0.197,0.285,processed,1250,1250,100,
mk_AL7.mov,b25_Generated__market_algs7__r20__6.png,bubbly_image_54_cn_0,573,865,174,200,346,0.179,0.268,processed,1307,1307,100,
mk_QA1.mov,b25_Generated__market_qa1__r20__10.png,bubbly_image_54_cn_0,671,994,200,236,397,0.19,0.285,processed,1249,1249,100,
mk_QA2.mov,b25_Generated__market_qa2__r20__11.png,bubbly_image_54_cn_0,572,744,150,211,297,0.204,0.264,processed,1269,1269,100,
mk_QA6.mov,b25_Generated__market_qa6__r20__15.png,bubbly_image_54_cn_0,602,862,172,215,345,0.198,0.285,processed,1233,1233,100,
mk_QA7.mov,b25_Generated__market_qa7__r20__16.png,bubbly_image_54_cn_0,578,885,178,200,354,0.175,0.268,processed,1316,1316,100,
mk_QA10.mov,b25_Generated__market_qa10__r20__19.png,bubbly_image_54_cn_0,584,781,156,214,312,0.197,0.265,error,1242,1242,100,Missing timestamps
sm_QA1.mov,b25_Generated__similar_1__r20__20.png,bubbly_image_54_cn_0,493,764,154,170,305,0.183,0.285,processed,1222,1222,100,
sm_QA2.mov,b25_Generated__similar_2__r20__21.png,bubbly_image_54_cn_0,496,737,148,174,294,0.181,0.268,processed,1260,1260,100,
sm_QA5.mov,b25_Generated__similar_5__r20__24.png,bubbly_image_54_cn_0,512,761,152,180,304,0.19,0.285,error,1243,1243,100,Missing timestamps
sm_QA6.mov,b25_Generated__similar_6__r20__25.png,bubbly_image_54_cn_0,510,777,156,177,310,0.185,0.285,processed,1232,1232,100,
sm_QA7.mov,b25_Generated__similar_7__r20__26.png,bubbly_image_54_cn_0,521,779,156,182,312,0.18,0.268,processed,1286,1286,100,
sm_QA10.mov,b25_Generated__similar_10__r20__29.png,bubbly_image_54_cn_0,541,781,156,192,312,0.195,0.285,error,1277,1277,100,Missing timestamps
sm_QA11.mov,b25_Generated__similar_11__r20__30.png,bubbly_image_54_cn_0,527,761,152,188,304,0.195,0.285,processed,1233,1233,100,
sm_QA12.mov,b25_Generated__similar_12__r20__31.png,bubbly_image_54_cn_0,525,758,152,186,303,0.186,0.269,processed,1327,1327,100,
sm_QA15.mov,b25_Generated__similar_15__r20__34.png,bubbly_image_54_cn_0,537,791,158,190,316,0.192,0.285,error,1289,1289,100,Missing timestamps
sm_QA16.mov,b25_Generated__similar_16__r20__35.png,bubbly_image_54_cn_0,534,739,148,193,296,0.197,0.275,processed,1225,1225,100,
sm_QA17.mov,b25_Generated__similar_17__r20__36.png,bubbly_image_54_cn_0,538,785,158,190,314,0.184,0.268,processed,1332,1332,100,
ic_QA1.mov,b26_Generated__bubbly_image_55__r20__0.png,bubbly_image_55_cn_1|bubbly_image_55_cn_1,1202,1631,326|326,60|816,82|1223,0.198,0.27,processed,2474,2474,100,
ic_QA5.mov,b26_Generated__bubbly_image_59__r20__4.png,bubbly_image_59_cn_1|bubbly_image_59_cn_1,1502,2258,452|452,75|975,113|1693,0.188,0.285,error,1296,1296,100,Missing timestamps
ic_QA6.mov,b26_Generated__bubbly_image_60__r20__5.png,bubbly_image_60_cn_1|bubbly_image_60_cn_1|bubbly_image_60_cn_1|bubbly_image_60_cn_1,1804,2737,548|548|548|548,90|1166|1166|90,137|2052|137|2052,0.185,0.285,processed,4880,4804,98,
dc_QA1.mov,b25_Generated__bubbly_image_34__r20__93.png,dark_cn_0,1958,2964,594,682,1185,0.185,0.285,processed,1231,1135,92,
dc_QA6.mov,b25_Generated__bubbly_image_39__r20__98.png,dark_cn_5,1934,2931,586,674,1172,0.185,0.285,processed,1241,1241,100,
LA_AL1.mov,b25_Generated__bubbly_image_42__r20__101.png,bubbly_image_42_cn_0,1202,1745,350,426,698,0.195,0.285,processed,1303,1303,100,
LA_AL6.mov,b25_Generated__bubbly_image_47__r20__111.png,bubbly_image_47_cn_0,1202,1804,362,420,721,0.19,0.285,processed,1284,1224,95,
LA_AL11.mov,b25_Generated__bubbly_image_46__r20__110.png,bubbly_image_46_nn_2,1202,1804,362,420,721,0.19,0.285,processed,1285,1285,100,
LA_QA4.mov,b25_Generated__bubbly_image_51__r20__119.png,bubbly_image_51_cn_0,738,1122,224,257,449,0.18,0.285,processed,1249,1249,100,
LA_QA9.mov,b25_Generated__bubbly_image_50__r20__118.png,bubbly_image_50_nn_2,1218,1831,366,426,732,0.189,0.185,processed,1256,1010,80,
mq_AL1.mov,b25_Generated__qr_1__r32__0.png,bubbly_image_54_cn_0,885,1305,418,234,444,0.192,0.285,processed,1242,1242,100,
mq_AL6.mov,b25_Generated__qr_6__r32__5.png,bubbly_image_54_cn_0,602,886,284,159,301,0.193,0.285,processed,1230,1230,100,
mq_QA5.mov,b25_Generated__qr_4__r32__3.png,bubbly_image_54_cn_0,906,1335,428,239,454,0.193,0.285,processed,1248,1248,100,
rw_AL1.mov,,,,,,,,,,error,,,,"ValueError(""PosixPath('.') has an empty name"")"
rw_AL2.mov,,,,,,,,,,error,,,,"ValueError(""PosixPath('.') has an empty name"")"
rw_AL3.mov,,,,,,,,,,error,,,,"ValueError(""PosixPath('.') has an empty name"")"
rw_AL4.mov,,,,,,,,,,error,,,,"ValueError(""PosixPath('.') has an empty name"")"
rw_AL5.mov,,,,,,,,,,error,,,,"ValueError(""PosixPath('.') has an empty name"")"
rw_QA1.mov,,,,,,,,,,error,,,,"ValueError(""PosixPath('.') has an empty name"")"
rw_QA2.mov,,,,,,,,,,error,,,,"ValueError(""PosixPath('.') has an empty name"")"
rw_QA3.mov,,,,,,,,,,error,,,,"ValueError(""PosixPath('.') has an empty name"")"
rw_QA4.mov,,,,,,,,,,error,,,,"ValueError(""PosixPath('.') has an empty name"")"
rw_QA5.mov,,,,,,,,,,error,,,,"ValueError(""PosixPath('.') has an empty name"")"
