ranking,title,critic_score,number_of_critic_ratings,audience_score,number_of_audience_ratings,review_url,review_text,poster_url,
0,1,The Wizard of Oz (1939),99,110,89,874425,http://www.rogerebert.com/reviews/great-movie-...,As a child I simply did not notice whether a m...,https://upload.wikimedia.org/wikipedia/commons...
1,2,Citizen Kane (1941),100,75,90,157274,http://www.rogerebert.com/reviews/great-movie-...,“I don't think any word can explain a man's li...,https://upload.wikimedia.org/wikipedia/en/c/ce...
2,3,The Third Man (1949),100,77,93,53081,http://www.rogerebert.com/reviews/great-movie-...,Has there ever been a film where the music mor...,https://upload.wikimedia.org/wikipedia/en/2/21...
3,4,Get Out (2017),99,282,87,63837,http://www.rogerebert.com/reviews/get-out-2017,"With the ambitious and challenging “Get Out,” ...",https://upload.wikimedia.org/wikipedia/en/e/eb...
4,5,Mad Max: Fury Road (2015),97,370,86,123937,http://www.rogerebert.com/reviews/mad-max-fury...,George Miller’s “Mad Max” films didn’t just ma...,https://upload.wikimedia.org/wikipedia/en/6/6e...
5,6,The Cabinet of Dr. Caligari (Das Cabinet des D...,100,49,89,27163,http://www.rogerebert.com/reviews/great-movie-...,The first thing everyone notices and best reme...,https://upload.wikimedia.org/wikipedia/commons...
6,7,All About Eve (1950),100,64,94,44564,http://www.rogerebert.com/reviews/great-movie-...,Growing older was a smart career move for Bett...,https://upload.wikimedia.org/wikipedia/en/2/22...
7,8,Inside Out (2015),98,324,89,133558,http://www.rogerebert.com/reviews/inside-out-2015,"""Inside Out,"" a comedy-adventure set inside th...",https://upload.wikimedia.org/wikipedia/en/0/0a...
8,9,The Godfather (1972),99,85,98,730433,http://www.rogerebert.com/reviews/great-movie-...,“The Godfather” is told entirely within a clos...,https://upload.wikimedia.org/wikipedia/en/1/1c...
9,10,Metropolis (1927),99,116,92,62018,http://www.rogerebert.com/reviews/great-movie-...,The opening shots of the restored “Metropolis”...,https://upload.wikimedia.org/wikipedia/en/0/06...
10,11,E.T. The Extra-Terrestrial (1982),98,114,72,32313030,http://www.rogerebert.com/reviews/great-movie-...,Dear Raven and Emil:\n\nSunday we sat on the b...,https://upload.wikimedia.org/wikipedia/en/6/66...
11,12,Modern Times (1936),100,53,95,39736,http://www.rogerebert.com/reviews/modern-times...,"A lot of movies are said to be timeless, but s...",https://upload.wikimedia.org/wikipedia/commons...
12,14,Singin' in the Rain (1952),100,49,95,137643,http://www.rogerebert.com/reviews/great-movie-...,"There is no movie musical more fun than ""Singi...",https://upload.wikimedia.org/wikipedia/en/f/f9...
13,15,Boyhood (2014),98,283,81,88478,http://www.rogerebert.com/reviews/boyhood-2014,"The second shot of ""Boyhood"" doubles as the mo...",https://upload.wikimedia.org/wikipedia/en/b/bb...
14,16,Casablanca (1942),97,74,95,355952,http://www.rogerebert.com/reviews/great-movie-...,If we identify strongly with the characters in...,https://upload.wikimedia.org/wikipedia/commons...
15,17,Moonlight (2016),98,292,80,41956,http://www.rogerebert.com/reviews/moonlight-2016,"“Who is you, man?” Dramatic film has long been...",https://upload.wikimedia.org/wikipedia/en/8/84...
16,18,Psycho (1960),97,86,94,238259,http://www.rogerebert.com/reviews/great-movie-...,"""It wasn't a message that stirred the audience...",https://upload.wikimedia.org/wikipedia/en/b/b9...
17,19,Laura (1944),100,60,91,10481,http://www.rogerebert.com/reviews/great-movie-...,I've seen Otto Preminger's “Laura” three or fo...,https://upload.wikimedia.org/wikipedia/en/d/d6...
18,20,"Nosferatu, a Symphony of Horror (Nosferatu, ei...",97,62,87,47463,http://www.rogerebert.com/reviews/great-movie-...,"To watch F.W. Murnau's ""Nosferatu"" (1922) is t...",https://upload.wikimedia.org/wikipedia/en/9/92...
19,21,Snow White and the Seven Dwarfs (1937),98,47,78,469510,http://www.rogerebert.com/reviews/great-movie-...,If Walt Disney's “Snow White and the Seven Dwa...,https://upload.wikimedia.org/wikipedia/en/4/49...
20,22,A Hard Day's Night (1964),98,104,89,50067,http://www.rogerebert.com/reviews/great-movie-...,"When it opened in September, 1964, ""A Hard Day...",https://upload.wikimedia.org/wikipedia/en/4/47...
21,23,La Grande illusion (Grand Illusion) (1938),97,63,92,11490,http://www.rogerebert.com/reviews/great-movie-...,"Apart from its other achievements, Jean Renoir...",https://upload.wikimedia.org/wikipedia/en/3/33...
22,25,The Battle of Algiers (La Battaglia di Algeri)...,99,83,95,14267,http://www.rogerebert.com/reviews/great-movie-...,The most common form of warfare since 1945 has...,https://upload.wikimedia.org/wikipedia/en/a/aa...
23,26,Dunkirk (2017),93,337,82,53555,http://www.rogerebert.com/reviews/dunkirk-2017,"Lean and ambitious, unsentimental and bombasti...",https://upload.wikimedia.org/wikipedia/en/1/15...
24,27,The Maltese Falcon (1941),100,50,91,57268,http://www.rogerebert.com/reviews/great-movie-...,Among the movies we not only love but treasure...,https://upload.wikimedia.org/wikipedia/en/9/99...
25,29,12 Years a Slave (2013),96,316,90,138789,http://www.rogerebert.com/reviews/12-years-a-s...,"After ""Django Unchained"" and Lee Daniels' ""The...",https://upload.wikimedia.org/wikipedia/en/5/5c...
26,30,Gravity (2013),96,315,80,301261,http://www.rogerebert.com/reviews/gravity-2013,"Alfonso Cuarón's ""Gravity,"" about astronauts c...",https://upload.wikimedia.org/wikipedia/en/f/f6...
27,31,Sunset Boulevard (1950),98,60,95,52783,http://www.rogerebert.com/reviews/great-movie-...,"Billy Wilder's ""Sunset Boulevard” is the portr...",https://upload.wikimedia.org/wikipedia/en/0/0a...
28,32,King Kong (1933),98,54,86,89669,http://www.rogerebert.com/reviews/great-movie-...,"On good days I consider ""Citizen Kane"" the sem...",https://upload.wikimedia.org/wikipedia/commons...
29,33,Spotlight (2015),96,311,93,68142,http://www.rogerebert.com/reviews/spotlight-2015,"On January 6, 2002, Boston Globe subscribers p...",https://upload.wikimedia.org/wikipedia/en/f/f3...
30,34,The Adventures of Robin Hood (1938),100,45,89,33584,http://www.rogerebert.com/reviews/great-movie-...,"""The Adventures of Robin Hood"" was made with s...",https://upload.wikimedia.org/wikipedia/en/2/22...
31,35,Rashômon (1951),100,50,93,47657,http://www.rogerebert.com/reviews/great-movie-...,"Shortly before filming was to begin on ""Rashom...",https://upload.wikimedia.org/wikipedia/commons...
32,36,Rear Window (1954),100,63,95,149458,http://www.rogerebert.com/reviews/great-movie-...,"The hero of Alfred Hitchcock's ""Rear Window"" i...",https://upload.wikimedia.org/wikipedia/commons...
33,37,Selma (2015),99,236,86,60533,http://www.rogerebert.com/reviews/selma-2014,"In a perfect world, “Selma” would exist solely...",https://upload.wikimedia.org/wikipedia/en/8/8f...
34,38,Taxi Driver (1976),99,77,93,258405,http://www.rogerebert.com/reviews/great-movie-...,"Are you talkin' to me? Well, I'm the only one ...",https://upload.wikimedia.org/wikipedia/en/8/8f...
35,39,Toy Story 3 (2010),99,291,89,605098,http://www.rogerebert.com/reviews/toy-story-3-...,"The first two ""Toy Story"" movies centered on t...",https://upload.wikimedia.org/wikipedia/en/6/69...
36,40,Argo (2012),96,313,90,207373,http://www.rogerebert.com/reviews/argo-2012,It's the same the world over. A Hollywood prod...,https://upload.wikimedia.org/wikipedia/en/e/e1...
37,41,Toy Story 2 (1999),100,163,86,998186,http://www.rogerebert.com/reviews/toy-story-2-...,"I forgot something about toys a long time ago,...",https://upload.wikimedia.org/wikipedia/en/c/c0...
38,42,The Big Sick (2017),98,217,90,23391,http://www.rogerebert.com/reviews/the-big-sick...,"It sounds impossible—too melodramatic, too cra...",https://upload.wikimedia.org/wikipedia/en/6/69...
39,43,The Bride of Frankenstein (1935),100,41,87,24471,http://www.rogerebert.com/reviews/great-movie-...,To a new world of gods and monsters.\n\nSo int...,https://upload.wikimedia.org/wikipedia/en/4/4b...
40,44,Zootopia (2016),98,249,92,98633,http://www.rogerebert.com/reviews/zootopia-2016,Fantasy films aimed at kids don’t have to have...,https://upload.wikimedia.org/wikipedia/en/e/ea...
41,45,M (1931),100,51,95,35778,http://www.rogerebert.com/reviews/great-movie-...,The horror of the faces: That is the overwhelm...,https://upload.wikimedia.org/wikipedia/en/a/ab...
42,46,Wonder Woman (2017),92,333,90,112955,http://www.rogerebert.com/reviews/wonder-woman...,Ever since William Moulton Marston created her...,https://upload.wikimedia.org/wikipedia/en/e/ed...
43,48,Alien (1979),97,104,94,457186,http://www.rogerebert.com/reviews/great-movie-...,"At its most fundamental level, ""Alien"" is a mo...",https://upload.wikimedia.org/wikipedia/en/c/c3...
44,49,Bicycle Thieves (Ladri di biciclette) (1949),98,56,94,33723,http://www.rogerebert.com/reviews/great-movie-...,"""The Bicycle Thief"" is so well-entrenched as a...",https://upload.wikimedia.org/wikipedia/en/2/20...
45,50,Seven Samurai (Shichinin no Samurai) (1956),100,57,97,90049,http://www.rogerebert.com/reviews/great-movie-...,"Akira Kurosawa's ""Seven Samurai"" (1954) is not...",https://upload.wikimedia.org/wikipedia/en/8/84...
46,51,The Treasure of the Sierra Madre (1948),100,45,93,25627,http://www.rogerebert.com/reviews/great-movie-...,When John Huston came back from the war and Hu...,https://upload.wikimedia.org/wikipedia/en/1/12...
47,52,Up (2009),98,286,90,1201878,http://www.rogerebert.com/reviews/up-2009,"""Up"" is a wonderful film, with characters who ...",https://upload.wikimedia.org/wikipedia/en/0/05...
48,53,12 Angry Men (Twelve Angry Men) (1957),100,49,97,103672,http://www.rogerebert.com/reviews/great-movie-...,"In form, ""12 Angry Men"" is a courtroom drama. ...",https://upload.wikimedia.org/wikipedia/commons...
49,53,12 Angry Men (Twelve Angry Men) (1957),100,49,97,103672,http://www.rogerebert.com/reviews/great-movie-...,"In form, ""12 Angry Men"" is a courtroom drama. ...",https://upload.wikimedia.org/wikipedia/commons...
