i,jobpost,date,Title,Company,AnnouncementCode,Term,Eligibility,Audience,StartDate,Duration,...,Salary,ApplicationP,OpeningDate,Deadline,Notes,AboutC,Attach,Year,Month,IT
0,AMERIA Investment Consulting Company\r\nJOB TI...,5-Jan-04,Chief Financial Officer,AMERIA Investment Consulting Company,NaN,NaN,NaN,NaN,NaN,NaN,...,NaN,"To apply for this position, please submit a\r\...",NaN,26-Jan-04,NaN,NaN,NaN,2004,1,FALSE
1,International Research & Exchanges Board (IREX...,7-Jan-04,Full-time Community Connections Intern (paid i...,International Research & Exchanges Board (IREX),NaN,NaN,NaN,NaN,NaN,3 months,...,NaN,Please submit a cover letter and resume to:\r\...,NaN,12-Jan-04,NaN,The International Research & Exchanges Board (...,NaN,2004,1,FALSE
2,Caucasus Environmental NGO Network (CENN)\r\nJ...,7-Jan-04,Country Coordinator,Caucasus Environmental NGO Network (CENN),NaN,NaN,NaN,NaN,NaN,Renewable annual contract\r\nPOSITION,...,NaN,Please send resume or CV toursula.kazarian@......,NaN,20 January 2004\r\nSTART DATE: February 2004,NaN,The Caucasus Environmental NGO Network is a\r\...,NaN,2004,1,FALSE
3,Manoff Group\r\nJOB TITLE: BCC Specialist\r\n...,7-Jan-04,BCC Specialist,Manoff Group,NaN,NaN,NaN,NaN,NaN,NaN,...,NaN,Please send cover letter and resume to Amy\r\n...,NaN,23 January 2004\r\nSTART DATE: Immediate,NaN,NaN,NaN,2004,1,FALSE
4,Yerevan Brandy Company\r\nJOB TITLE: Software...,10-Jan-04,Software Developer,Yerevan Brandy Company,NaN,NaN,NaN,NaN,NaN,NaN,...,NaN,Successful candidates should submit\r\n- CV; \...,NaN,"20 January 2004, 18:00",NaN,NaN,NaN,2004,1,TRUE
5,"Boutique ""Appollo""\r\nJOB TITLE: Saleswoman\r...",10-Jan-04,Saleswoman,"Boutique ""Appollo""",NaN,NaN,NaN,NaN,NaN,NaN,...,NaN,"For further information, please contact Irina\...",NaN,1-Feb-04,NaN,NaN,NaN,2004,1,FALSE
6,OSI Assistance Foundation - Armenian Branch Of...,11-Jan-04,Chief Accountant/ Finance Assistant,OSI Assistance Foundation - Armenian Branch Of...,NaN,NaN,NaN,NaN,NaN,NaN,...,NaN,"For submission of applications/ CVs, please\r\...",NaN,"16 January 2004, 6:00 pm.",NaN,NaN,NaN,2004,1,FALSE
7,International Research & Exchanges Board (IREX...,13-Jan-04,Non-paid part or full time Programmatic Intern,International Research & Exchanges Board (IREX),NaN,NaN,NaN,NaN,NaN,6 months,...,NaN,"To apply, please download and submit the\r\nap...",NaN,16-Jan-04,NaN,The International Research & Exchanges Board (...,NaN,2004,1,FALSE
8,Yerevan Brandy Company \r\nJOB TITLE: Assista...,13-Jan-04,Assistant to Managing Director,Yerevan Brandy Company,NaN,NaN,NaN,NaN,NaN,NaN,...,NaN,Successful candidates should submit\r\n- CV; \...,NaN,"27 January 2004, 18:00",NaN,NaN,NaN,2004,1,FALSE
9,American Embassy Yerevan\r\nANNOUNCEMENT NUMBE...,13-Jan-04,"Program Assistant (INL), FSN-8; FP-6*",American Embassy Yerevan\r\nANNOUNCEMENT NUMBE...,NaN,NaN,NaN,NaN,NaN,NaN,...,NaN,Interested candidates for this position should...,NaN,26 January 2004 \r\nDrafted: GSargsyan\r\nC...,NaN,NaN,NaN,2004,1,FALSE
10,International Research & Exchanges Board (IREX...,13-Jan-04,Short-Term Travel Grants (STG) Program,International Research & Exchanges Board (IREX),NaN,NaN,NaN,NaN,NaN,NaN,...,NaN,"For more information on this program, please\r...",NaN,Applications are due in the IREX office by 01\...,NaN,NaN,NaN,2004,1,FALSE
11,International Research & Exchanges Board (IREX...,13-Jan-04,Non-paid part or full time Administrative Intern,International Research & Exchanges Board (IREX),NaN,NaN,NaN,NaN,NaN,6 months,...,NaN,"To apply, please download and submit the\r\nap...",NaN,16-Jan-04,NaN,The International Research & Exchanges Board (...,NaN,2004,1,FALSE
12,Institute for Sustainable Communities (ISC)\r\...,13-Jan-04,Chief of Party (COP),Institute for Sustainable Communities (ISC),NaN,NaN,NaN,NaN,NaN,5 year\r\nPOSITION,...,NaN,Interested applicants should send a cover\r\nl...,NaN,8-Feb-04,NaN,Water User Associations Support Program (WUASP...,NaN,2004,1,FALSE
13,Food Security Regional Cooperation and Stabili...,14-Jan-04,"Community Development, Capacity Building and C...",Food Security Regional Cooperation and Stabili...,NaN,NaN,NaN,NaN,NaN,NaN,...,NaN,"Interested persons should submit cover letter,...",NaN,Open until filled,NaN,NaN,NaN,2004,1,FALSE
14,Teleplus LLC\r\nJOB TITLE: General Manager\r\...,14-Jan-04,General Manager,Teleplus LLC,NaN,NaN,NaN,NaN,NaN,NaN,...,NaN,If you believe that you fulfill the above\r\np...,NaN,Open,NaN,NaN,NaN,2004,1,FALSE
15,NetCall Communications\r\nJOB TITLE: Network ...,15-Jan-04,Network Administrator,NetCall Communications,NaN,NaN,NaN,NaN,NaN,NaN,...,NaN,Successful candidates should submit CV and 1-2...,NaN,"28 February 2004, 18:00",NaN,NaN,NaN,2004,1,TRUE
16,SOC.Stockholm\r\nTITLE: Utopian World Champi...,15-Jan-04,Utopian World Championship 2004,SOC.Stockholm,NaN,NaN,NaN,NaN,NaN,NaN,...,NaN,Visit http://www.soc.nu for detailed\r\ninform...,NaN,Deadline for entry is on 31 January 2004 and f...,NaN,NaN,NaN,2004,1,FALSE
17,"United Nations Development Programme, Armenia\...",15-Jan-04,Country Economist (NOB),"United Nations Development Programme, Armenia",NaN,NaN,NaN,NaN,NaN,3 months initial.,...,NaN,Applications can be submitted throughhttp://oc...,NaN,"24 January 2004, 17:00.",NaN,NaN,NaN,2004,1,FALSE
18,"Counterpart International, Inc.\r\nCounterpart...",16-Jan-04,Driver/ Logistics Assistant,"Counterpart International, Inc.\r\nCounterpart...",NaN,NaN,NaN,NaN,NaN,NaN,...,NaN,Qualified individuals should submit a current\...,NaN,"21 January 2004, 5 pm\r\nABOUT PROGRAM: The C...",NaN,NaN,NaN,2004,1,FALSE
19,Xalt LLC\r\nJOB TITLE: Graphic Designer\r\nPO...,16-Jan-04,Graphic Designer,Xalt LLC,NaN,NaN,NaN,NaN,NaN,NaN,...,NaN,Interested applicants should send CVs by email...,NaN,26-Jan-04,NaN,NaN,NaN,2004,1,TRUE
20,"CUTS Centre for International Trade, Economics...",19-Jan-04,Administrative Assistant,"CUTS Centre for International Trade, Economics...",NaN,NaN,NaN,NaN,NaN,NaN,...,NaN,"There is no application pack. Send your CV,\r\...",NaN,26 January 2004\r\nSTART DATE: End of February,NaN,NaN,NaN,2004,1,FALSE
21,Yerevan Brandy Company\r\nJOB TITLE: Lawyer\r...,19-Jan-04,Lawyer,Yerevan Brandy Company,NaN,NaN,NaN,NaN,NaN,NaN,...,NaN,Successful candidates should submit\r\n- CV; \...,NaN,"06 February 2004, 18:00",NaN,NaN,NaN,2004,1,FALSE
22,ACDI/VOCA\r\nJOB TITLE: Marketing Advisor\r\n...,19-Jan-04,Marketing Advisor,ACDI/VOCA,NaN,NaN,NaN,NaN,NaN,30 month position \r\nPOSITION,...,NaN,Submit CV and salary requirements toeurasia@.....,NaN,NaN,NaN,ACDI/VOCA is an international development and ...,NaN,2004,1,FALSE
23,Armenia TV\r\nJOB TITLE: Chief/ Supervisor of...,20-Jan-04,Chief/ Supervisor of Programs Department,Armenia TV,NaN,NaN,NaN,NaN,NaN,3 year\r\nPOSITION,...,NaN,"Please, call 584969 (10.00-18.30)\r\nPlease cl...",NaN,Until hired\r\nSTART DATE: As soon as possible,NaN,NaN,NaN,2004,1,FALSE
24,Media Diversity Institute\r\nJOB TITLE: Journ...,20-Jan-04,Journalism Trainer,Media Diversity Institute,NaN,NaN,NaN,NaN,NaN,NaN,...,NaN,Applicants are required to submit:\r\n- Short ...,NaN,26-Jan-04,NaN,The Media Diversity Institute (MDI) is a Londo...,NaN,2004,1,FALSE
25,Armenia School Connectivity Program\r\nJOB TIT...,21-Jan-04,Deputy Program Director,Armenia School Connectivity Program,NaN,NaN,NaN,NaN,NaN,NaN,...,NaN,Interested applicants should send cover letter...,NaN,06 February 2004\r\nABOUT PROGRAM: Armenia Sc...,NaN,NaN,NaN,2004,1,FALSE
26,Yerevan State University (YSU) and Civic Educa...,21-Jan-04,Student Forum: Student Conference and Debate F...,Yerevan State University (YSU) and Civic Educa...,NaN,NaN,NaN,NaN,NaN,17-18 April 2004\r\nDESCRIPTION: The confere...,...,NaN,For further details and the student applicatio...,NaN,21-Feb-04,NaN,NaN,NaN,2004,1,FALSE
