export_created,job_id,high_priority,req_inkjet,export_company_name,name,qty_est,qty,jobtype,num_inserts,color,export_duedate,export_cur_status,purls,delivery,export_coordinator,paid,invoice,postage_class,postage_type,postage_amt,postage_affixed,postage_due,total,dist_type,mailsize,papertype,fold_type,snap_seal,snap_paper,paper_color,envelopepaper,envelopetype,permit,export_vend_name,export_sales,bw_color,simp_dup,rsm_provided_data,custom_envelope,variable_streetview,data_cost,parent_sheet_size,freight,quoted,add_expenses,clicks_n_paper,labor,production_notes,sf_freight,sf_pmod,sf_quoted,sf_clicks_paper,sf_labor,sf_data,sf_data_po,sf_outside_print,sf_op_po,sf_addit_expense,sf_addit_po
2019-01-29 12:11:40,64755,,,Response Tech. (Aff),RTECH TIPS CO 11/25/19,"39,149",39149,Self Mailer,,4/4,2019-11-26 00:00:00,Done,no,,Heather Lunsford,true,603,Standard,Permit Imprint,6509.26,,,6509.26,,6x9,#80 Text,Half Fold,,,,,,1661,"[""Denver Redstone Production""]",Contact user not set,1,2,,0,,,,,,,,,"Data from mapping program, postal paperwork prep, inkjet address block, sort and mail",,,,,,,,,,,
2019-02-15 11:52:23,65705,,,Mail King USA,Got Junk Nov,7406,7136,Post Card,,4/4,2019-11-01 00:00:00,Done,no,,Leslie Moores,true,245920,Standard,Permit Imprint,1.00,,,1971.64,,5.5 x 8.5,,,,,,,,1,"[""RS W.Sac""]",Andy Cody,1,2,,0,,,,,,,,,"USE PRE PRINTED GOT JUNK SHELLS-- 6X9

INKJET ADDRESS ONTO SHELLS

company cont_id sequence
address
city, st zip
imbarcode

SORT, BUNDLE, AND TRAY
PREPARE FOR DELIVERY TO THE P.O.",,,,,,,,,,,
2019-07-08 14:10:51,73620,,,Response Tech. (Aff),RTECH TIPS EAST-11/18/19,24136,24136,Self Mailer,,,2019-11-20 00:00:00,Delivery / Mailed,no,,Heather Lunsford,true,586,Standard,Permit Imprint,4657.47,,,4657.47,,Custom,,,,,,,,1661,"[""Denver Redstone Production""]",Andy Cody,,,,0,,,,,,,,,"Inkjet address block-DBF and CSV on P:drive.

Sort/Bundle/Tray/Strap

Put completed mail in cage.",,,,,,,,,,,
2019-08-29 15:44:10,76734,,no,Real Property Acquisitions,Mobile Home PC 110119,1268,1225,Post Card,,4/0,2019-11-01 00:00:00,Done,no,,Lindsey Hemphill,true,246078,First Class Pre-Sort,Permit Imprint,330.90,,,441.75,None,4 x 6,,,,,,,,,"[""RS W.Sac""]",Flip Talk,,,no,0,no,,,,,,,,"PRINT 4/4
QTY: 137 Sheets
9 up on 12x18 67# YELLOW vellum bristol

CHOP cut down to final size of 4x6

MAIL sort, bundle, & tray - 1st class 11/01",,,,,,,,,,,
2019-08-29 15:44:29,76735,,no,Real Property Acquisitions,Mobile Home PC 110819,1268,1122,Post Card,,4/0,2019-11-08 00:00:00,Done,no,,Lindsey Hemphill,true,246497,First Class Pre-Sort,Permit Imprint,296.66,,,407.76,None,4 x 6,,,,,,,,,"[""RS W.Sac""]",Flip Talk,1,2,no,0,no,,,,,,,,"PRINT 4/4
QTY: 125 Sheets
9 up on 12x18 67# YELLOW vellum bristol

CHOP cut down to final size of 4x6

MAIL sort, bundle, & tray - 1st class 11/08",,,,,,,,,,,
2019-09-03 08:30:24,76852,,no,"Reliant Home Funding, Inc - Carmelo",Reliant Carmelo 11/8/2019,800,772,Letter,1,1/0,2019-11-08 00:00:00,Done,no,,Tori Randell,true,244670,First Class Pre-Sort,Permit Imprint,,,,996.19,None,8.5x11,,,,,,,,1935,"[""RS W.Sac""]",Justin Restaino,0,1,,0,,,,,,,,,"1-800-599-0955

WAIT FOR CLIENT TO ANSWER ON PHONE CALL

INKJET
#10 White half window envelope with FC Eagle #1935 Permit

If we don’t have the eagle indicia we use a live stamp.

Qty:

Color: 1/1

paper : 60# white 8.5x11

tri-fold and insert half window envelope with FC Eagle indicia

BRING SAMPLE TO TORI FOR PROOFING. PRINT LONG EDGE

MAIL
Sort, Bundle, and Tray - 1st Class Pre-sort Due: 11/8/2019",,,,,,,,,,,
2019-09-24 17:27:35,78315,,,Overflowworks,GEQ - 09695-19 - VA D6,2668,2652,Letter,1,1/1,2019-11-02 00:00:00,Done,no,,Leslie Moores,true,245906,Standard,Permit Imprint,751.10,,,1295.12,None,8.5x11,60#,,,,White,#10 White,Half Window,1935,"[""RS W.Sac""]",Andy Cody,0,2,no,0,no,,8.5x11,,,,,,"PRINT
4/1
8.5X11 60# WHITE PAPER

FOLD
C FOLD

INSERT
INTO #10 WHITE HALF WINDOW ENVELOPES-- STD 1935

MAIL
SORT, BUNDLE, AND TRAY
PREPARE FOR DELIVERY TO THE P.O.",,,,,,,,,,,
2019-09-25 14:44:39,78416,,no,Overflowworks,GEQ - 09943-19 - D6,3753,3751,Letter,1,1/0,2019-11-02 00:00:00,Done,no,,Leslie Moores,true,246042,Standard,Permit Imprint,1062.01,,,1654.66,None,8.5x11,,,,,,,,,"[""RS W.Sac""]",Andy Cody,,,no,0,no,,,,,,,,"PRINT
4/1
8.5X11 60# WHITE PAPER

FOLD
C FOLD

INSERT
INTO #10 WHITE HALF WINDOW ENVELOPES-- STD 1935

MAIL
SORT, BUNDLE, AND TRAY
PREPARE FOR DELIVERY TO THE P.O.",,,,,,,,,,,
2019-09-25 15:01:49,78424,,no,Overflowworks,GEQ 09944-19 D6,4079,4081,Letter,1,4/0,2019-11-02 00:00:00,Done,no,,Leslie Moores,true,246108,Standard,Permit Imprint,1157.66,,,1676.72,None,8.5x11,,,,,,,,,"[""RS W.Sac""]",Andy Cody,,,no,0,no,,,,,,,,"PRINT
4/1
8.5X11 60# WHITE PAPER

FOLD
C FOLD

INSERT
INTO #10 WHITE HALF WINDOW ENVELOPES- STD 1935

MAIL
SORT, BUNDLE, AND TRAY
PREPARE FOR DELIVERY TO THE P.O. ",,,,,,,,,,,
2019-10-03 08:33:30,78886,,no,Donald Hiers Real Estate,Remember Me Postcard,500,554,Post Card,,4/0,2019-11-07 00:00:00,Done,no,,Heather Lunsford,true,246224,Standard,Permit Imprint,133.97,,,225.86,None,5.5 x 8.5,,,,,,,,,"[""RS W.Sac""]",Jared Phillips,,,no,0,no,,,,,,,,"PRINT QTY: 139 SHEETS

12X18 100# WHITE GLOSS COVER

4/4

CUT TO 5.5X8.5 WITH BLEEDS

SORT, BUNDLE, TRAY

PREPARE FOR DELIVERY TO THE POST OFFICE",,,,,,,,,,,
