sending_num,receiving_num,text_timestamp
97424 22395,90365 06212,1/9/16 6:03
94489 72078,92415 91418,1/9/16 6:05
81520 43406,92421 64236,1/9/16 6:09
97389 12538,90352 50054,1/9/16 6:09
81515 42171,98440 02823,1/9/16 6:13
78132 18081,77956 90632,1/9/16 6:19
90352 50054,97389 12538,1/9/16 6:30
90359 99240,94491 55790,1/9/16 6:32
78295 65598,84313 45689,1/9/16 6:34
93412 66159,98454 07778,1/9/16 6:36
78295 65598,84313 45689,1/9/16 6:52
84319 39746,95263 76972,1/9/16 6:53
90082 61126,90366 69257,1/9/16 6:55
97393 04671,95262 44233,1/9/16 6:57
97414 15280,90199 91061,1/9/16 6:59
78133 10302,93423 23000,1/9/16 7:02
78295 65598,84313 45689,1/9/16 7:06
78132 18081,77956 90632,1/9/16 7:08
94489 72078,92415 91418,1/9/16 7:08
97421 07528,90083 59148,1/9/16 7:18
78295 78750,97449 50000,1/9/16 7:18
99009 32475,78138 56841,1/9/16 7:21
77956 90632,92411 96415,1/9/16 7:35
97391 99665,90368 72970,1/9/16 7:41
93435 31225,87141 37314,1/9/16 7:44
83019 39880,87146 31956,1/9/16 7:46
98446 78140,98440 65896,1/9/16 7:47
78299 99223,92424 51984,1/9/16 7:49
97391 99665,90368 72970,1/9/16 7:52
90192 87313,78139 24512,1/9/16 7:54
99612 41256,90197 24124,1/9/16 7:58
94001 07403,90368 72970,1/9/16 8:06
94482 95223,97425 92186,1/9/16 8:27
95269 20533,97449 50000,1/9/16 8:29
94499 20763,97386 20071,1/9/16 8:30
74066 93594,78136 65840,1/9/16 8:31
97391 99665,90355 94399,1/9/16 8:40
70121 27677,83012 37742,1/9/16 8:41
94497 44333,90087 42537,1/9/16 8:46
78295 48262,81515 65055,1/9/16 8:46
98454 07778,93412 66159,1/9/16 8:48
92413 79027,74060 75431,1/9/16 8:51
94486 40312,97424 60171,1/9/16 9:02
98448 72117,93436 09781,1/9/16 9:12
78138 56841,99009 32475,1/9/16 9:19
93435 21961,92411 96415,1/9/16 9:25
97414 62784,98449 60656,1/9/16 9:38
98441 32533,93410 98013,1/9/16 9:40
81510 47188,97429 02055,1/9/16 9:41
98440 68457,95264 40233,1/9/16 9:47
78132 18081,77956 90632,1/9/16 9:50
90198 03659,97403 09983,1/9/16 9:52
90082 61126,90366 69257,1/9/16 9:54
90359 91512,94492 23068,1/9/16 9:55
99006 60463,99003 88572,1/9/16 9:57
97416 29480,94489 72078,1/9/16 10:00
93410 98013,78295 60375,1/9/16 10:03
90359 91512,94492 23068,1/9/16 10:04
94497 44333,97385 70012,1/9/16 10:07
98458 13389,93423 23000,1/9/16 10:10
90362 07317,92413 38675,1/9/16 10:11
90359 52497,97390 23922,1/9/16 10:22
97421 07528,98454 07778,1/9/16 10:22
93432 65750,92425 27794,1/9/16 10:22
78295 48262,70121 27677,1/9/16 10:26
93436 09781,98448 72117,1/9/16 10:34
97447 92655,97404 63904,1/9/16 10:36
93418 82576,94489 95536,1/9/16 10:41
97421 07528,90083 59148,1/9/16 10:42
93410 98013,78295 60375,1/9/16 10:42
78133 10302,93423 23000,1/9/16 10:42
90194 00845,97416 17124,1/9/16 10:47
97426 75324,78138 56841,1/9/16 10:51
95269 20533,97449 50000,1/9/16 10:54
93410 56456,98453 86521,1/9/16 10:56
98449 60656,90084 16988,1/9/16 11:01
92411 96415,78993 92058,1/9/16 11:04
92424 51984,78299 99223,1/9/16 11:04
97406 74488,92411 96415,1/9/16 11:04
93436 09781,98448 72117,1/9/16 11:04
97422 22278,98446 66723,1/9/16 11:12
90197 69887,97424 53609,1/9/16 11:12
90359 99240,94491 55790,1/9/16 11:21
74294 40351,98440 02823,1/9/16 11:22
97389 12538,90352 50054,1/9/16 11:28
94480 64700,90088 09624,1/9/16 11:29
97421 07528,90083 59148,1/9/16 11:35
97380 86781,81522 26166,1/9/16 11:36
90084 16988,98449 60656,1/9/16 11:38
92421 64236,81520 43406,1/9/16 11:38
97390 23922,90359 52497,1/9/16 11:42
90084 16988,93422 47940,1/9/16 11:42
81525 12041,90356 11723,1/9/16 11:55
93423 23000,98458 13389,1/9/16 11:57
97406 74488,90358 98099,1/9/16 11:59
97385 70012,97424 53609,1/9/16 12:00
98448 72117,93436 09781,1/9/16 12:04
84314 16122,94499 20763,1/9/16 12:11
98440 65896,78295 65598,1/9/16 12:12
97391 99665,90355 94399,1/9/16 12:14
99003 88572,99006 60463,1/9/16 12:15
94489 72078,92415 91418,1/9/16 12:17
90359 99240,94491 55790,1/9/16 12:18
97399 92703,78136 42599,1/9/16 12:21
97425 92186,94482 95223,1/9/16 12:21
97391 99665,90368 72970,1/9/16 12:25
90366 36573,97425 12708,1/9/16 12:33
90197 24124,99612 41256,1/9/16 12:33
98444 95768,99003 47921,1/9/16 12:37
81519 62015,99009 32475,1/9/16 12:47
94488 97308,93422 47940,1/9/16 12:47
92428 82401,97385 29751,1/9/16 12:48
97385 29751,92428 82401,1/9/16 12:48
97403 09983,90198 03659,1/9/16 13:02
90194 00845,97416 17124,1/9/16 13:02
90366 69257,90082 61126,1/9/16 13:10
98448 72117,93436 09781,1/9/16 13:14
93418 41992,81525 78007,1/9/16 13:18
94480 64700,90088 09624,1/9/16 13:23
97380 60551,81524 55552,1/9/16 13:25
98440 65896,78295 65598,1/9/16 13:26
77956 90632,92411 96415,1/9/16 13:28
97412 66065,94006 62384,1/9/16 13:28
93418 41992,81525 78007,1/9/16 13:34
97393 04671,98444 42212,1/9/16 13:40
98446 78140,98444 72482,1/9/16 13:44
97414 62784,98449 60656,1/9/16 13:45
89071 31755,78290 99865,1/9/16 13:50
94487 29969,97419 41164,1/9/16 13:54
90354 08732,94499 20763,1/9/16 13:57
90084 16988,93422 47940,1/9/16 14:06
97414 15280,90199 91061,1/9/16 14:11
93410 98013,78295 60375,1/9/16 14:13
78295 60375,93410 98013,1/9/16 14:21
70129 62374,98441 32533,1/9/16 14:28
97412 66065,94006 62384,1/9/16 14:33
99009 32475,78138 56841,1/9/16 14:36
78138 56841,99009 32475,1/9/16 14:38
81517 73746,94497 77615,1/9/16 14:41
87146 31956,83019 39880,1/9/16 14:44
95264 40233,98440 68457,1/9/16 14:46
98440 65896,93418 41992,1/9/16 14:48
97424 21092,98451 87493,1/9/16 14:54
93423 23000,98458 13389,1/9/16 14:57
93418 41992,81525 78007,1/9/16 14:58
78295 48262,70121 27677,1/9/16 15:00
93418 41992,81525 78007,1/9/16 15:11
94499 20763,93412 66159,1/9/16 15:17
97416 17124,90194 00845,1/9/16 15:17
97385 70012,97424 53609,1/9/16 15:20
81520 43406,92421 64236,1/9/16 15:24
94499 20763,84314 16122,1/9/16 15:27
97421 07528,90083 59148,1/9/16 15:31
94490 65627,97395 95120,1/9/16 15:34
94006 62384,99616 15114,1/9/16 15:35
90367 90080,74066 93594,1/9/16 15:37
98444 95768,99003 47921,1/9/16 15:38
90359 52497,97390 23922,1/9/16 15:46
93410 56456,98453 86521,1/9/16 15:47
98445 33687,97403 49292,1/9/16 16:01
93410 98013,98441 32533,1/9/16 16:03
78295 48262,81515 65055,1/9/16 16:03
97390 23922,90359 52497,1/9/16 16:04
97426 75324,78138 56841,1/9/16 16:05
90358 98099,97406 74488,1/9/16 16:05
97424 22395,90365 06212,1/9/16 16:09
94499 20763,90354 08732,1/9/16 16:10
97390 23922,90359 52497,1/9/16 16:16
98448 86633,78293 91304,1/9/16 16:17
78295 60375,93410 98013,1/9/16 16:21
83012 37742,70121 27677,1/9/16 16:22
90088 09624,93434 31551,1/9/16 16:23
97391 99665,90368 72970,1/9/16 16:24
93412 66159,98454 07778,1/9/16 16:25
93422 47940,90084 16988,1/9/16 16:29
98451 87493,97424 21092,1/9/16 16:30
78299 99223,92424 51984,1/9/16 16:32
93422 47940,90084 16988,1/9/16 16:32
93418 82576,94489 95536,1/9/16 16:54
78136 65840,74066 93594,1/9/16 16:59
97385 29751,92428 82401,1/9/16 17:03
92411 96415,97406 74488,1/9/16 17:07
90359 91512,94492 23068,1/9/16 17:09
90083 59148,97421 07528,1/9/16 17:21
98448 87878,90366 36573,1/9/16 17:21
87141 37314,93435 31225,1/9/16 17:22
78295 60375,93410 98013,1/9/16 17:22
98440 65896,78295 65598,1/9/16 17:22
78295 60375,93410 98013,1/9/16 17:30
99006 60463,99003 88572,1/9/16 17:33
77950 18278,89078 69605,1/9/16 17:51
97386 20071,94499 20763,1/9/16 17:55
97416 17124,90194 00845,1/9/16 18:00
90197 69887,97424 53609,1/9/16 18:03
81513 30231,90365 06212,1/9/16 18:09
99003 88572,99006 60463,1/9/16 18:18
90084 16988,93422 47940,1/9/16 18:20
93423 23000,98458 13389,1/9/16 18:21
99610 89720,90197 69887,1/9/16 18:28
98453 86521,93410 56456,1/9/16 18:31
97385 70012,94497 44333,1/9/16 18:37
98440 65896,93418 41992,1/9/16 18:37
98449 60656,97414 62784,1/9/16 18:42
81525 12041,90356 11723,1/9/16 18:49
78295 48262,81515 65055,1/9/16 19:00
87141 73076,78290 30467,1/9/16 19:09
81519 62015,99009 32475,1/9/16 19:11
81517 73746,94497 77615,1/9/16 19:14
90084 16988,98449 60656,1/9/16 19:17
78138 56841,99009 32475,1/9/16 19:17
98449 60656,90084 16988,1/9/16 19:18
90084 16988,98449 60656,1/9/16 19:26
93427 56500,98447 12671,1/9/16 19:29
98440 02823,81515 42171,1/9/16 19:35
78290 30467,87141 73076,1/9/16 19:39
98458 13389,93423 23000,1/9/16 19:43
90365 06212,81513 30231,1/9/16 19:52
70121 27677,90359 79636,1/9/16 19:53
97406 74488,90358 98099,1/9/16 19:55
97424 53609,90197 69887,1/9/16 19:58
84314 16122,94499 20763,1/9/16 20:00
94497 44333,97385 70012,1/9/16 20:00
94499 38099,90365 51029,1/9/16 20:05
74066 93594,78136 65840,1/9/16 20:06
78290 30467,87141 73076,1/9/16 20:12
92413 38675,90362 07317,1/9/16 20:12
97385 70012,94497 44333,1/9/16 20:21
78138 56841,97426 75324,1/9/16 20:21
97416 29480,94489 72078,1/9/16 20:23
98444 72482,98446 78140,1/9/16 20:23
97425 12708,90366 36573,1/9/16 20:33
98448 86633,78293 91304,1/9/16 20:34
81525 78007,93418 41992,1/9/16 20:38
98458 13389,93423 23000,1/9/16 20:39
99617 74886,98445 42844,1/9/16 20:45
93435 21961,92411 96415,1/9/16 20:45
98458 13389,93423 23000,1/9/16 20:45
99003 47921,98444 95768,1/9/16 20:47
77950 18278,89078 69605,1/9/16 20:51
94489 72078,92415 91418,1/9/16 20:56
94486 40312,97424 60171,1/9/16 20:58
94491 55790,90359 99240,1/9/16 21:04
97395 95120,94490 65627,1/9/16 21:06
90359 79636,84311 10322,1/9/16 21:06
94497 44333,97385 70012,1/9/16 21:14
97389 12538,90352 50054,1/9/16 21:19
95262 44233,98442 33257,1/9/16 21:21
98448 72117,93436 09781,1/9/16 21:26
90366 36573,98448 87878,1/9/16 21:27
92415 91418,94489 72078,1/9/16 21:31
97389 12538,90352 50054,1/9/16 21:33
89078 69605,77950 18278,1/9/16 21:54
98446 78140,98444 72482,1/9/16 21:59
90359 52497,97390 23922,1/9/16 22:01
90083 59148,97421 07528,1/9/16 22:08
